x_position (mm), y_radius (mm)
-8.612590898655446414e-02,2.464000000000000218e-02
-4.196590898655447321e-02,2.464000000000000218e-02
-4.196590898655447321e-02,2.464000000000000218e-02
-4.001041120510064053e-02,2.459957728688708448e-02
-3.805825435880370866e-02,2.447837820907561648e-02
-3.611277367488895107e-02,2.427660983315696810e-02
-3.417729297447014147e-02,2.399461687701682361e-02
-3.225511899385705844e-02,2.363288112089041715e-02
-3.034953573505185659e-02,2.319202058424911506e-02
-2.846379885508681581e-02,2.267278846992451871e-02
-2.660113010378884618e-02,2.207607187727403039e-02
-2.476471181947404940e-02,2.140289028658651921e-02
-2.295768149197595365e-02,2.065439381731731458e-02
-2.118312640229691110e-02,1.983186126312843842e-02
-1.944407834804015231e-02,1.893669790709106432e-02
-1.774350846363455594e-02,1.797043312078297136e-02
-1.608432214420123241e-02,1.693471775138284674e-02
-1.446935408173475289e-02,1.583132130122561973e-02
-1.290136342207939130e-02,1.466212890463734243e-02
-1.138302905097475157e-02,1.342913810721483962e-02
-9.916945017224407591e-03,1.213445545305258909e-02
-8.505616100807045568e-03,1.078029288574742887e-02
-8.505616100807050772e-03,1.078029288574742194e-02
-6.632661607529816150e-03,8.907338392470185578e-03
-6.632661607529816150e-03,8.907338392470185578e-03
-6.283574154501931318e-03,8.575727184775474438e-03
-5.934486701474046486e-03,8.275960656079313013e-03
-5.585399248446160786e-03,8.004237581010329242e-03
-5.236311795418275954e-03,7.757619979648679338e-03
-4.887224342390391121e-03,7.533787522982743172e-03
-4.538136889362506289e-03,7.330876199410365883e-03
-4.189049436334620589e-03,7.147368421052633161e-03
-3.839961983306735757e-03,6.982015893520309227e-03
-3.490874530278850925e-03,6.833784116285054368e-03
-3.141787077250965659e-03,6.701811613163089106e-03
-2.792699624223080393e-03,6.585379471531790756e-03
-2.443612171195195561e-03,6.483888276043261317e-03
-2.094524718167310295e-03,6.396840469236789173e-03
-1.745437265139425029e-03,6.323826783666520839e-03
-1.396349812111540630e-03,6.264515796886069299e-03
-1.047262359083655147e-03,6.218645937888286207e-03
-6.981749060557697730e-04,6.186019467598084451e-03
-3.490874530278853744e-04,6.166498095688117444e-03
0.000000000000000000e+00,6.160000000000000545e-03
0.000000000000000000e+00,6.160000000000000545e-03
3.935223049025760728e-03,7.596166619353327855e-03
8.016280171792906917e-03,9.052614381812738170e-03
9.028877360831744081e-03,9.405858219527878095e-03
9.861628780725150215e-03,9.689708640390733499e-03
1.060638288885477724e-02,9.937642155620750664e-03
1.129977492062878182e-02,1.016298921416436407e-02
1.196073697329474647e-02,1.037258997950773337e-02
1.260051142805801438e-02,1.057045473013467143e-02
1.322640571145349865e-02,1.075914008906593555e-02
1.384348843336963980e-02,1.094037193081854459e-02
1.445545503465987119e-02,1.111536376134975891e-02
1.506510998800332166e-02,1.128499425722841003e-02
1.567465383529362960e-02,1.144991301592061979e-02
1.628586322929130234e-02,1.161060689674573050e-02
1.690020876125802179e-02,1.176744341839014614e-02
1.751893483877586116e-02,1.192070014433107596e-02
1.814311547412547979e-02,1.207058516296227214e-02
1.877369425759145560e-02,1.221725171376925739e-02
1.941151364369532104e-02,1.236080885213026309e-02
2.005733683237914330e-02,1.250132936491071649e-02
2.071186440544235674e-02,1.263885573523724874e-02
2.137574717557686257e-02,1.277340469534970178e-02
2.204959625288710132e-02,1.290497073928267152e-02
2.273399103540534039e-02,1.303352885683179731e-02
2.342948562910428245e-02,1.315903667590795009e-02
2.413661406489827146e-02,1.328143614929204117e-02
2.485589458359155693e-02,1.340065488605893945e-02
2.558783319129090753e-02,1.351660720256037986e-02
2.633292663841222195e-02,1.362919494954521922e-02
2.709166493939193024e-02,1.373830815862374377e-02
2.786453352358417290e-02,1.384382554139020581e-02
2.865201508792048629e-02,1.394561486711672939e-02
2.945459120687403745e-02,1.404353323933548760e-02
3.027274374380361371e-02,1.413742728735255076e-02
3.110695609892643460e-02,1.422713328544249548e-02
3.195771432231769849e-02,1.431247720991163722e-02
